region,structure_coeff,canonical_weight,abs_structure_coeff
S_circular_insula_ant_lh,0.5887041880386561,0.013923384000468823,0.5887041880386561
G_temporal_middle_lh,0.583726889511013,0.16350174391580624,0.583726889511013
S_parieto_occipital_lh,0.5810015241603885,0.019398993157821058,0.5810015241603885
G_cingul-Post-dorsal_lh,0.5772374656091933,-0.07686432921598939,0.5772374656091933
G_temporal_inf_lh,0.5668846050787,-0.11757852585254523,0.5668846050787
G_oc-temp_med-Parahip_lh,0.5668340437673298,0.09134007846429806,0.5668340437673298
G_occipital_middle_lh,0.5660452727498735,-0.05394868749992567,0.5660452727498735
S_oc_middle_and_Lunatus_lh,0.5615373283866318,-0.011405300430961,0.5615373283866318
S_subparietal_lh,0.5566530353364203,0.03174496649166534,0.5566530353364203
S_pericallosal_lh,0.5556346018677971,0.09635544848107643,0.5556346018677971
S_calcarine_lh,0.5528489498733553,0.05274159667031851,0.5528489498733553
G_temp_sup-Lateral_lh,0.547913939862789,0.019592807795197353,0.547913939862789
G_insular_short_lh,0.5456680186904822,0.13821744420319104,0.5456680186904822
Medial_wall_lh,0.5453900679592834,-0.07284631208064118,0.5453900679592834
S_temporal_sup_lh,0.5442188672555283,-0.10597929047710697,0.5442188672555283
S_collat_transv_ant_lh,0.5389117086631958,0.13208296061053124,0.5389117086631958
G_temp_sup-Plan_polar_lh,0.5371545708152963,0.01774531347316261,0.5371545708152963
G_precuneus_lh,0.5359756201595729,0.1332905020016167,0.5359756201595729
S_oc-temp_lat_lh,0.535229808778277,-0.045744787543000535,0.535229808778277
S_oc-temp_med_and_Lingual_lh,0.5309396678707518,-0.09024740769480695,0.5309396678707518
G_cuneus_lh,0.5289033602596485,0.059092101458831245,0.5289033602596485
G_oc-temp_lat-fusifor_lh,0.5282195049339614,0.03762067649660635,0.5282195049339614
G_oc-temp_med-Lingual_lh,0.5262779561219965,-0.042770450370521455,0.5262779561219965
S_temporal_inf_lh,0.5260810073345665,0.05462070780175452,0.5260810073345665
S_oc_sup_and_transversal_lh,0.5239755204758265,-0.04617884642997476,0.5239755204758265
G_pariet_inf-Angular_lh,0.5237138540270537,0.07364890308506448,0.5237138540270537
S_cingul-Marginalis_lh,0.5202927059367637,-0.08233127041448254,0.5202927059367637
S_intrapariet_and_P_trans_lh,0.5196062061578578,0.013289857856793397,0.5196062061578578
S_circular_insula_inf_lh,0.5155750824983419,0.042887618262909474,0.5155750824983419
G_front_inf-Triangul_lh,0.5153482622204202,0.10859737638124026,0.5153482622204202
S_occipital_ant_lh,0.5138841423409977,0.06336949140995525,0.5138841423409977
G_front_inf-Opercular_lh,0.5100050552296831,0.09067818352002581,0.5100050552296831
S_circular_insula_sup_lh,0.5069058099457883,-0.0716982652303771,0.5069058099457883
Pole_occipital_lh,0.5058383434125047,0.06647551985811864,0.5058383434125047
G_temp_sup-G_T_transv_lh,0.5034706819555383,0.10245437323404352,0.5034706819555383
G_occipital_sup_lh,0.5002881615360231,-0.0666485704920788,0.5002881615360231
G_Ins_lg_and_S_cent_ins_lh,0.4980639038006688,-0.12885376793798578,0.4980639038006688
G_and_S_cingul-Ant_lh,0.4952251674444918,-0.007822535688261769,0.4952251674444918
G_orbital_lh,0.49504779499369883,0.09757576093721014,0.49504779499369883
S_orbital-H_Shaped_lh,0.4911506566636755,0.01000669266141047,0.4911506566636755
G_pariet_inf-Supramar_lh,0.48927638032076476,0.0335533629568675,0.48927638032076476
S_collat_transv_post_lh,0.4854480589952276,-0.028128632073014224,0.4854480589952276
Pole_temporal_lh,0.4813789932223636,-0.05255914111794949,0.4813789932223636
Lat_Fis-ant-Vertical_lh,0.48058284452872585,-0.04690549153498925,0.48058284452872585
G_front_inf-Orbital_lh,0.4800573440096847,-0.015392076301124635,0.4800573440096847
G_cingul-Post-ventral_lh,0.4797152532242934,-0.11673226634642657,0.4797152532242934
G_temporal_middle_rh,0.4778776509312941,-0.07536090313628625,0.4778776509312941
G_temp_sup-Plan_polar_rh,0.4778579181943755,-0.03829698071904385,0.4778579181943755
G_and_S_cingul-Mid-Post_lh,0.4760023755035139,-0.022069687001205634,0.4760023755035139
S_collat_transv_ant_rh,0.47592800949167824,0.010303490722072112,0.47592800949167824
S_postcentral_lh,0.47561848763959524,-0.18898675890016084,0.47561848763959524
G_and_S_occipital_inf_lh,0.47549849910650055,0.0020230395385491514,0.47549849910650055
Lat_Fis-ant-Horizont_lh,0.4741726831236799,0.02947875820106783,0.4741726831236799
S_front_inf_lh,0.4739874038771189,0.008318457590171108,0.4739874038771189
G_parietal_sup_lh,0.47239484715645474,-0.06901928823763953,0.47239484715645474
G_cingul-Post-ventral_rh,0.4722161049925369,-0.04884091967493224,0.4722161049925369
S_precentral-inf-part_lh,0.4688245583500801,-0.051738521940156545,0.4688245583500801
G_oc-temp_med-Parahip_rh,0.4676701779575028,0.1619878650567702,0.4676701779575028
S_temporal_sup_rh,0.46759274262518247,-0.03279552809789449,0.46759274262518247
G_oc-temp_lat-fusifor_rh,0.46684982391865404,-0.19839633811641272,0.46684982391865404
G_and_S_cingul-Mid-Ant_lh,0.4667782938931966,0.03757192676534496,0.4667782938931966
G_temp_sup-Lateral_rh,0.46488476415151164,0.1229180102682634,0.46488476415151164
G_pariet_inf-Angular_rh,0.46487365035204253,-0.07321749346281034,0.46487365035204253
S_orbital-H_Shaped_rh,0.4637517829776635,0.04065239704429533,0.4637517829776635
S_front_sup_lh,0.4626651666106989,-0.030697950550741683,0.4626651666106989
